BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR,Precint,Police Stations,Crime Rates,Grocery Stores
MANHATTAN,GRAMERCY,02  TWO FAMILY HOMES,1,2550000,2550000,2550000,2550000,2012,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01  ONE FAMILY HOMES,7,1625000,8503571,8300000,17850000,2012,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02  TWO FAMILY HOMES,1,8500000,8500000,8500000,8500000,2012,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01  ONE FAMILY HOMES,12,5800000,10693454,10025000,18965415,2012,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02  TWO FAMILY HOMES,12,560000,7573588,7612500,17625000,2012,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03  THREE FAMILY HOMES,10,2650000,6270000,5725000,9850000,2012,,,,
MANHATTAN,KIPS BAY,03  THREE FAMILY HOMES,2,3400000,3700000,3700000,4000000,2012,,,,
MANHATTAN,MIDTOWN EAST,01  ONE FAMILY HOMES,4,3500000,6237500,5725000,10000000,2012,,,,
MANHATTAN,MIDTOWN EAST,02  TWO FAMILY HOMES,1,2275000,2275000,2275000,2275000,2012,,,,
MANHATTAN,MIDTOWN WEST,03  THREE FAMILY HOMES,1,2600000,2600000,2600000,2600000,2012,,,,
MANHATTAN,FLATIRON,01 ONE FAMILY HOMES,1,12000000,12000000,12000000,12000000,2013,,,,
MANHATTAN,MURRAY HILL,01  ONE FAMILY HOMES,2,2725000,2862500,2862500,3000000,2012,,,,
MANHATTAN,MURRAY HILL,02  TWO FAMILY HOMES,2,2850000,3457500,3457500,4065000,2012,,,,
MANHATTAN,MURRAY HILL,03  THREE FAMILY HOMES,1,2437500,2437500,2437500,2437500,2012,,,,
MANHATTAN,SOHO,01  ONE FAMILY HOMES,1,7000000,7000000,7000000,7000000,2012,,,,
