BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR,Precint,Police Stations,Crime Rates,Grocery Stores
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,4,3400000,6925000,5650000,13000000,2019,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY DWELLINGS,1,13000000,13000000,13000000,13000000,2019,,,,
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY DWELLINGS,1,5600000,5600000,5600000,5600000,2019,,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY DWELLINGS,2,3468750,3934375,3934375,4400000,2019,,,,
MANHATTAN,MURRAY HILL,02 TWO FAMILY DWELLINGS,2,4080000,4383750,4383750,4687500,2019,,,,
MANHATTAN,SOHO,01 ONE FAMILY DWELLINGS,2,12250000,12273250,12273250,12296500,2019,,,,
MANHATTAN,SOHO,02 TWO FAMILY DWELLINGS,2,4072000,6386000,6386000,8700000,2019,,,,
MANHATTAN,TRIBECA,01 ONE FAMILY DWELLINGS,2,4950000,15863567,15863567,26777133,2019,,,,
MANHATTAN,TRIBECA,02 TWO FAMILY DWELLINGS,2,4050000,8500000,8500000,12950000,2019,,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,4350000,4350000,4350000,4350000,2020,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY DWELLINGS,2,6000000,10499950,10499950,14999900,2020,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY DWELLINGS,2,4150000,5325000,5325000,6500000,2020,,,,
MANHATTAN,CHELSEA,03 THREE FAMILY DWELLINGS,1,4100000,4100000,4100000,4100000,2020,,,,
MANHATTAN,CLINTON,01 ONE FAMILY DWELLINGS,1,7500000,7500000,7500000,7500000,2020,,,,
MANHATTAN,CLINTON,03 THREE FAMILY DWELLINGS,1,3050000,3050000,3050000,3050000,2020,,,,
MANHATTAN,EAST VILLAGE,02 TWO FAMILY DWELLINGS,1,4725000,4725000,4725000,4725000,2020,,,,
MANHATTAN,EAST VILLAGE,03 THREE FAMILY DWELLINGS,1,8405000,8405000,8405000,8405000,2020,,,,
MANHATTAN,GRAMERCY,01 ONE FAMILY DWELLINGS,2,9000000,10587500,10587500,12175000,2020,,,,
MANHATTAN,GRAMERCY,02 TWO FAMILY DWELLINGS,1,685000,685000,685000,685000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,6,5950000,15575000,16425000,28000000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY DWELLINGS,1,11500000,11500000,11500000,11500000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,14,3450000,10799214,9547000,19920000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS,8,3900000,11085688,7426250,31000000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY DWELLINGS,1,7500000,7500000,7500000,7500000,2020,,,,
MANHATTAN,KIPS BAY,01 ONE FAMILY DWELLINGS,1,3180000,3180000,3180000,3180000,2020,,,,
MANHATTAN,KIPS BAY,02 TWO FAMILY DWELLINGS,1,9350000,9350000,9350000,9350000,2020,,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,1,11500000,11500000,11500000,11500000,2020,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY DWELLINGS,1,11500000,11500000,11500000,11500000,2020,,,,
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY DWELLINGS,1,319393,319393,319393,319393,2020,,,,
MANHATTAN,MURRAY HILL,02 TWO FAMILY DWELLINGS,1,5807000,5807000,5807000,5807000,2020,,,,
MANHATTAN,SOHO,02 TWO FAMILY DWELLINGS,2,7400000,10425000,10425000,13450000,2020,,,,
MANHATTAN,SOHO,03 THREE FAMILY DWELLINGS,1,5220000,5220000,5220000,5220000,2020,,,,
MANHATTAN,ALPHABET CITY,01-ONE FAMILY DWELLINGS,1,2385000,2385000,2385000,2385000,2021,,,,
MANHATTAN,ALPHABET CITY,02-TWO FAMILY DWELLINGS,1,3025000,3025000,3025000,3025000,2021,,,,
MANHATTAN,CHELSEA,01-ONE FAMILY DWELLINGS,6,5900000,11062500,9112500,22500000,2021,,,,
MANHATTAN,CHELSEA,02-TWO FAMILY DWELLINGS,2,4395000,8447500,8447500,12500000,2021,,,,
MANHATTAN,CHELSEA,03-THREE FAMILY DWELLINGS,3,3550000,5233333,5350000,6800000,2021,,,,
MANHATTAN,CLINTON,02-TWO FAMILY DWELLINGS,1,5700000,5700000,5700000,5700000,2021,,,,
MANHATTAN,EAST VILLAGE,02-TWO FAMILY DWELLINGS,4,4025000,6779688,6550000,9993750,2021,,,,
MANHATTAN,EAST VILLAGE,03-THREE FAMILY DWELLINGS,2,3600000,5947500,5947500,8295000,2021,,,,
MANHATTAN,GRAMERCY,02-TWO FAMILY DWELLINGS,1,3500000,3500000,3500000,3500000,2021,,,,
MANHATTAN,GRAMERCY,03-THREE FAMILY DWELLINGS,1,4500000,4500000,4500000,4500000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01-ONE FAMILY DWELLINGS,8,4800000,16787500,16800000,29500000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02-TWO FAMILY DWELLINGS,1,3500000,3500000,3500000,3500000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01-ONE FAMILY DWELLINGS,34,487980,10244426,8695000,27270000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02-TWO FAMILY DWELLINGS,12,4200000,9235417,8425000,19750000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03-THREE FAMILY DWELLINGS,5,6066000,10045200,9310000,16000000,2021,,,,
MANHATTAN,KIPS BAY,01-ONE FAMILY DWELLINGS,1,665000,665000,665000,665000,2021,,,,
MANHATTAN,KIPS BAY,02-TWO FAMILY DWELLINGS,2,360000,3293030,3293030,6226060,2021,,,,
MANHATTAN,LITTLE ITALY,02-TWO FAMILY DWELLINGS,1,1800000,1800000,1800000,1800000,2021,,,,
MANHATTAN,LOWER EAST SIDE,01-ONE FAMILY DWELLINGS,1,7500000,7500000,7500000,7500000,2021,,,,
MANHATTAN,MIDTOWN EAST,01-ONE FAMILY DWELLINGS,6,3825000,6344667,6571500,8600000,2021,,,,
MANHATTAN,MIDTOWN EAST,02-TWO FAMILY DWELLINGS,1,5600000,5600000,5600000,5600000,2021,,,,
MANHATTAN,MIDTOWN WEST,02-TWO FAMILY DWELLINGS,1,3500000,3500000,3500000,3500000,2021,,,,
MANHATTAN,MURRAY HILL,01-ONE FAMILY DWELLINGS,4,2100000,5700000,5850000,9000000,2021,,,,
MANHATTAN,MURRAY HILL,02-TWO FAMILY DWELLINGS,4,2900000,4200025,3950050,6000000,2021,,,,
MANHATTAN,MURRAY HILL,03-THREE FAMILY DWELLINGS,2,3575000,3987500,3987500,4400000,2021,,,,
MANHATTAN,SOHO,01-ONE FAMILY DWELLINGS,2,8700000,10250000,10250000,11800000,2021,,,,
MANHATTAN,TRIBECA,01-ONE FAMILY DWELLINGS,1,5150000,5150000,5150000,5150000,2021,,,,
