Precint,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
17,FELONY ASSAULT                        ,79,103,73,94,85,79,72,72,75,47,54,53,80,64,46,74,72,83,91,96,66,125,113,106
17,BURGLARY                              ,276,270,272,225,231,198,215,139,166,123,96,96,135,107,124,98,84,83,80,100,185,149,186,136
17,GRAND LARCENY                         ,1363,1338,1220,1287,1175,933,957,920,891,741,745,694,721,766,634,721,742,755,748,834,577,548,669,687
17,GRAND LARCENY OF MOTOR VEHICLE                                  ,131,125,92,73,59,50,36,45,45,29,31,21,25,20,30,40,26,22,26,16,48,48,68,64
17,TOTAL SEVEN MAJOR FELONY OFFENSES,2028,1990,1801,1796,1667,1397,1391,1277,1269,1018,990,937,1020,1024,909,986,1000,1023,1021,1116,953,971,1147,1113
18,MURDER & NON NEGL. MANSLAUGHTER                                ,1,5,2,4,3,3,4,1,3,2,3,0,4,0,2,0,0,1,3,1,4,3,1,3
18,RAPE                                  ,14,14,15,19,26,20,6,12,8,7,15,11,14,14,10,15,13,26,21,29,14,18,22,9
18,ROBBERY                               ,430,397,325,267,257,270,227,166,165,124,137,137,123,125,129,159,163,135,130,171,136,131,154,137
18,FELONY ASSAULT                        ,243,236,237,183,168,179,161,144,145,111,131,110,127,168,172,157,190,166,190,162,126,149,185,184
18,BURGLARY                              ,678,483,479,465,387,399,296,266,247,232,188,183,171,175,213,220,208,203,175,165,269,200,205,130
18,GRAND LARCENY                         ,4015,3926,3260,3042,3031,2680,2185,2105,2091,1967,1809,1758,1830,1753,1831,1773,1862,1838,1875,1846,1081,1349,2065,1979
18,GRAND LARCENY OF MOTOR VEHICLE                                  ,226,202,190,164,120,101,66,67,59,36,48,29,44,36,37,37,31,42,31,49,71,76,116,83
18,TOTAL SEVEN MAJOR FELONY OFFENSES,5607,5263,4508,4144,3992,3652,2945,2761,2718,2479,2331,2228,2313,2271,2394,2361,2467,2411,2425,2423,1701,1926,2748,2525
