BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,YEAR
MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,1,2016
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,2,2016
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,1,2016
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,2,2016
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,1,2016
MANHATTAN,EAST VILLAGE,03 THREE FAMILY HOMES,1,2016
MANHATTAN,GRAMERCY,02 TWO FAMILY HOMES,2,2016
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,6,2016
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,10,2016
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,6,2016
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,3,2016
MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY HOMES,10,2016
MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY HOMES,23,2016
MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY HOMES,16,2016
MANHATTAN,HARLEM-EAST,01 ONE FAMILY HOMES,1,2016
MANHATTAN,HARLEM-EAST,02 TWO FAMILY HOMES,2,2016
MANHATTAN,HARLEM-EAST,03 THREE FAMILY HOMES,4,2016
MANHATTAN,HARLEM-UPPER,01 ONE FAMILY HOMES,5,2016
MANHATTAN,HARLEM-UPPER,02 TWO FAMILY HOMES,10,2016
MANHATTAN,HARLEM-UPPER,03 THREE FAMILY HOMES,5,2016
MANHATTAN,HARLEM-WEST,01 ONE FAMILY HOMES,1,2016
MANHATTAN,HARLEM-WEST,02 TWO FAMILY HOMES,1,2016
MANHATTAN,HARLEM-WEST,03 THREE FAMILY HOMES,2,2016
MANHATTAN,INWOOD,01 ONE FAMILY HOMES,3,2016
MANHATTAN,INWOOD,02 TWO FAMILY HOMES,2,2016
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,3,2016
MANHATTAN,LITTLE ITALY,01 ONE FAMILY HOMES,1,2016
MANHATTAN,MANHATTAN VALLEY,01 ONE FAMILY HOMES,1,2016
MANHATTAN,MANHATTAN VALLEY,02 TWO FAMILY HOMES,2,2016
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,2,2016
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,1,2016
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY HOMES,1,2016
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,3,2016
MANHATTAN,SOHO,01 ONE FAMILY HOMES,4,2016
MANHATTAN,SOHO,02 TWO FAMILY HOMES,1,2016
MANHATTAN,TRIBECA,02 TWO FAMILY HOMES,1,2016
MANHATTAN,UPPER EAST SIDE (59-79),01 ONE FAMILY HOMES,13,2016
MANHATTAN,UPPER EAST SIDE (59-79),02 TWO FAMILY HOMES,9,2016
MANHATTAN,UPPER EAST SIDE (79-96),01 ONE FAMILY HOMES,17,2016
MANHATTAN,UPPER EAST SIDE (79-96),02 TWO FAMILY HOMES,9,2016
MANHATTAN,UPPER EAST SIDE (79-96),03 THREE FAMILY HOMES,3,2016
MANHATTAN,UPPER WEST SIDE (59-79),01 ONE FAMILY HOMES,2,2016
MANHATTAN,UPPER WEST SIDE (59-79),02 TWO FAMILY HOMES,1,2016
MANHATTAN,UPPER WEST SIDE (79-96),01 ONE FAMILY HOMES,8,2016
MANHATTAN,UPPER WEST SIDE (79-96),02 TWO FAMILY HOMES,8,2016
MANHATTAN,UPPER WEST SIDE (96-116),02 TWO FAMILY HOMES,2,2016
MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY HOMES,2,2016
BRONX,BATHGATE,01 ONE FAMILY HOMES,4,2016
BRONX,BATHGATE,02 TWO FAMILY HOMES,15,2016
BRONX,BATHGATE,03 THREE FAMILY HOMES,5,2016
BRONX,BAYCHESTER,01 ONE FAMILY HOMES,90,2016
BRONX,BAYCHESTER,02 TWO FAMILY HOMES,104,2016
BRONX,BAYCHESTER,03 THREE FAMILY HOMES,22,2016
BRONX,BEDFORD PARK/NORWOOD,01 ONE FAMILY HOMES,9,2016
BRONX,BEDFORD PARK/NORWOOD,02 TWO FAMILY HOMES,34,2016
BRONX,BEDFORD PARK/NORWOOD,03 THREE FAMILY HOMES,6,2016
BRONX,BELMONT,02 TWO FAMILY HOMES,19,2016
BRONX,BELMONT,03 THREE FAMILY HOMES,9,2016
BRONX,BRONX PARK,02 TWO FAMILY HOMES,1,2016
BRONX,BRONXDALE,01 ONE FAMILY HOMES,46,2016
BRONX,BRONXDALE,02 TWO FAMILY HOMES,70,2016
BRONX,BRONXDALE,03 THREE FAMILY HOMES,15,2016
BRONX,CASTLE HILL/UNIONPORT,01 ONE FAMILY HOMES,31,2016
BRONX,CASTLE HILL/UNIONPORT,02 TWO FAMILY HOMES,46,2016
BRONX,CASTLE HILL/UNIONPORT,03 THREE FAMILY HOMES,16,2016
BRONX,CITY ISLAND,01 ONE FAMILY HOMES,29,2016
BRONX,CITY ISLAND,02 TWO FAMILY HOMES,8,2016
BRONX,CITY ISLAND,03 THREE FAMILY HOMES,1,2016
BRONX,CITY ISLAND-PELHAM STRIP,01 ONE FAMILY HOMES,4,2016
BRONX,CO-OP CITY,01 ONE FAMILY HOMES,1,2016
BRONX,COUNTRY CLUB,01 ONE FAMILY HOMES,57,2016
BRONX,COUNTRY CLUB,02 TWO FAMILY HOMES,36,2016
BRONX,COUNTRY CLUB,03 THREE FAMILY HOMES,2,2016
BRONX,CROTONA PARK,01 ONE FAMILY HOMES,4,2016
BRONX,CROTONA PARK,02 TWO FAMILY HOMES,11,2016
BRONX,CROTONA PARK,03 THREE FAMILY HOMES,8,2016
BRONX,EAST TREMONT,01 ONE FAMILY HOMES,9,2016
BRONX,EAST TREMONT,02 TWO FAMILY HOMES,24,2016
BRONX,EAST TREMONT,03 THREE FAMILY HOMES,17,2016
BRONX,FIELDSTON,01 ONE FAMILY HOMES,15,2016
BRONX,FIELDSTON,03 THREE FAMILY HOMES,3,2016
BRONX,FORDHAM,01 ONE FAMILY HOMES,8,2016
BRONX,FORDHAM,02 TWO FAMILY HOMES,16,2016
BRONX,FORDHAM,03 THREE FAMILY HOMES,7,2016
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY HOMES,8,2016
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY HOMES,21,2016
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES,16,2016
BRONX,HUNTS POINT,01 ONE FAMILY HOMES,1,2016
BRONX,HUNTS POINT,02 TWO FAMILY HOMES,7,2016
BRONX,HUNTS POINT,03 THREE FAMILY HOMES,12,2016
BRONX,KINGSBRIDGE HTS/UNIV HTS,01 ONE FAMILY HOMES,10,2016
BRONX,KINGSBRIDGE HTS/UNIV HTS,02 TWO FAMILY HOMES,18,2016
BRONX,KINGSBRIDGE HTS/UNIV HTS,03 THREE FAMILY HOMES,3,2016
BRONX,KINGSBRIDGE/JEROME PARK,01 ONE FAMILY HOMES,19,2016
BRONX,KINGSBRIDGE/JEROME PARK,02 TWO FAMILY HOMES,21,2016
BRONX,KINGSBRIDGE/JEROME PARK,03 THREE FAMILY HOMES,10,2016
BRONX,MELROSE/CONCOURSE,01 ONE FAMILY HOMES,4,2016
BRONX,MELROSE/CONCOURSE,02 TWO FAMILY HOMES,25,2016
BRONX,MELROSE/CONCOURSE,03 THREE FAMILY HOMES,29,2016
BRONX,MORRIS PARK/VAN NEST,01 ONE FAMILY HOMES,39,2016
BRONX,MORRIS PARK/VAN NEST,02 TWO FAMILY HOMES,84,2016
BRONX,MORRIS PARK/VAN NEST,03 THREE FAMILY HOMES,16,2016
BRONX,MORRISANIA/LONGWOOD,01 ONE FAMILY HOMES,22,2016
BRONX,MORRISANIA/LONGWOOD,02 TWO FAMILY HOMES,49,2016
BRONX,MORRISANIA/LONGWOOD,03 THREE FAMILY HOMES,44,2016
BRONX,MOTT HAVEN/PORT MORRIS,01 ONE FAMILY HOMES,13,2016
BRONX,MOTT HAVEN/PORT MORRIS,02 TWO FAMILY HOMES,20,2016
BRONX,MOTT HAVEN/PORT MORRIS,03 THREE FAMILY HOMES,10,2016
BRONX,MOUNT HOPE/MOUNT EDEN,01 ONE FAMILY HOMES,5,2016
BRONX,MOUNT HOPE/MOUNT EDEN,02 TWO FAMILY HOMES,14,2016
BRONX,MOUNT HOPE/MOUNT EDEN,03 THREE FAMILY HOMES,13,2016
BRONX,PARKCHESTER,01 ONE FAMILY HOMES,10,2016
BRONX,PARKCHESTER,02 TWO FAMILY HOMES,32,2016
BRONX,PARKCHESTER,03 THREE FAMILY HOMES,17,2016
BRONX,PELHAM GARDENS,01 ONE FAMILY HOMES,20,2016
BRONX,PELHAM GARDENS,02 TWO FAMILY HOMES,18,2016
BRONX,PELHAM GARDENS,03 THREE FAMILY HOMES,1,2016
BRONX,PELHAM PARKWAY NORTH,01 ONE FAMILY HOMES,33,2016
BRONX,PELHAM PARKWAY NORTH,02 TWO FAMILY HOMES,41,2016
BRONX,PELHAM PARKWAY NORTH,03 THREE FAMILY HOMES,6,2016
BRONX,PELHAM PARKWAY SOUTH,01 ONE FAMILY HOMES,12,2016
BRONX,PELHAM PARKWAY SOUTH,02 TWO FAMILY HOMES,21,2016
BRONX,PELHAM PARKWAY SOUTH,03 THREE FAMILY HOMES,4,2016
BRONX,RIVERDALE,01 ONE FAMILY HOMES,40,2016
BRONX,RIVERDALE,02 TWO FAMILY HOMES,20,2016
BRONX,RIVERDALE,03 THREE FAMILY HOMES,7,2016
BRONX,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY HOMES,56,2016
BRONX,SCHUYLERVILLE/PELHAM BAY,02 TWO FAMILY HOMES,57,2016
BRONX,SCHUYLERVILLE/PELHAM BAY,03 THREE FAMILY HOMES,23,2016
BRONX,SOUNDVIEW,01 ONE FAMILY HOMES,30,2016
BRONX,SOUNDVIEW,02 TWO FAMILY HOMES,133,2016
BRONX,SOUNDVIEW,03 THREE FAMILY HOMES,55,2016
BRONX,THROGS NECK,01 ONE FAMILY HOMES,108,2016
BRONX,THROGS NECK,02 TWO FAMILY HOMES,74,2016
BRONX,THROGS NECK,03 THREE FAMILY HOMES,10,2016
BRONX,WAKEFIELD,01 ONE FAMILY HOMES,65,2016
BRONX,WAKEFIELD,02 TWO FAMILY HOMES,88,2016
BRONX,WAKEFIELD,03 THREE FAMILY HOMES,9,2016
BRONX,WESTCHESTER,01 ONE FAMILY HOMES,13,2016
BRONX,WESTCHESTER,02 TWO FAMILY HOMES,36,2016
BRONX,WESTCHESTER,03 THREE FAMILY HOMES,6,2016
BRONX,WILLIAMSBRIDGE,01 ONE FAMILY HOMES,43,2016
BRONX,WILLIAMSBRIDGE,02 TWO FAMILY HOMES,138,2016
BRONX,WILLIAMSBRIDGE,03 THREE FAMILY HOMES,57,2016
BRONX,WOODLAWN,01 ONE FAMILY HOMES,18,2016
BRONX,WOODLAWN,02 TWO FAMILY HOMES,18,2016
BRONX,WOODLAWN,03 THREE FAMILY HOMES,4,2016
BROOKLYN,BATH BEACH,01 ONE FAMILY HOMES,23,2016
BROOKLYN,BATH BEACH,02 TWO FAMILY HOMES,58,2016
BROOKLYN,BATH BEACH,03 THREE FAMILY HOMES,30,2016
BROOKLYN,BAY RIDGE,01 ONE FAMILY HOMES,115,2016
BROOKLYN,BAY RIDGE,02 TWO FAMILY HOMES,125,2016
BROOKLYN,BAY RIDGE,03 THREE FAMILY HOMES,9,2016
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY HOMES,44,2016
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY HOMES,273,2016
BROOKLYN,BEDFORD STUYVESANT,03 THREE FAMILY HOMES,146,2016
BROOKLYN,BENSONHURST,01 ONE FAMILY HOMES,50,2016
BROOKLYN,BENSONHURST,02 TWO FAMILY HOMES,151,2016
BROOKLYN,BENSONHURST,03 THREE FAMILY HOMES,40,2016
BROOKLYN,BERGEN BEACH,01 ONE FAMILY HOMES,40,2016
BROOKLYN,BERGEN BEACH,02 TWO FAMILY HOMES,14,2016
BROOKLYN,BERGEN BEACH,03 THREE FAMILY HOMES,15,2016
BROOKLYN,BOERUM HILL,01 ONE FAMILY HOMES,9,2016
BROOKLYN,BOERUM HILL,02 TWO FAMILY HOMES,20,2016
BROOKLYN,BOERUM HILL,03 THREE FAMILY HOMES,4,2016
BROOKLYN,BOROUGH PARK,01 ONE FAMILY HOMES,60,2016
BROOKLYN,BOROUGH PARK,02 TWO FAMILY HOMES,186,2016
BROOKLYN,BOROUGH PARK,03 THREE FAMILY HOMES,70,2016
BROOKLYN,BRIGHTON BEACH,01 ONE FAMILY HOMES,12,2016
BROOKLYN,BRIGHTON BEACH,02 TWO FAMILY HOMES,18,2016
BROOKLYN,BRIGHTON BEACH,03 THREE FAMILY HOMES,9,2016
BROOKLYN,BROOKLYN HEIGHTS,01 ONE FAMILY HOMES,4,2016
BROOKLYN,BROOKLYN HEIGHTS,02 TWO FAMILY HOMES,6,2016
BROOKLYN,BROOKLYN HEIGHTS,03 THREE FAMILY HOMES,1,2016
BROOKLYN,BROWNSVILLE,01 ONE FAMILY HOMES,33,2016
BROOKLYN,BROWNSVILLE,02 TWO FAMILY HOMES,46,2016
BROOKLYN,BROWNSVILLE,03 THREE FAMILY HOMES,10,2016
BROOKLYN,BUSH TERMINAL,01 ONE FAMILY HOMES,1,2016
BROOKLYN,BUSH TERMINAL,02 TWO FAMILY HOMES,15,2016
BROOKLYN,BUSH TERMINAL,03 THREE FAMILY HOMES,5,2016
BROOKLYN,BUSHWICK,01 ONE FAMILY HOMES,20,2016
BROOKLYN,BUSHWICK,02 TWO FAMILY HOMES,193,2016
BROOKLYN,BUSHWICK,03 THREE FAMILY HOMES,68,2016
BROOKLYN,CANARSIE,01 ONE FAMILY HOMES,86,2016
BROOKLYN,CANARSIE,02 TWO FAMILY HOMES,218,2016
BROOKLYN,CANARSIE,03 THREE FAMILY HOMES,25,2016
BROOKLYN,CARROLL GARDENS,01 ONE FAMILY HOMES,4,2016
BROOKLYN,CARROLL GARDENS,02 TWO FAMILY HOMES,17,2016
BROOKLYN,CARROLL GARDENS,03 THREE FAMILY HOMES,17,2016
BROOKLYN,CLINTON HILL,01 ONE FAMILY HOMES,6,2016
BROOKLYN,CLINTON HILL,02 TWO FAMILY HOMES,24,2016
BROOKLYN,CLINTON HILL,03 THREE FAMILY HOMES,15,2016
BROOKLYN,COBBLE HILL,01 ONE FAMILY HOMES,6,2016
BROOKLYN,COBBLE HILL,02 TWO FAMILY HOMES,2,2016
BROOKLYN,COBBLE HILL,03 THREE FAMILY HOMES,5,2016
BROOKLYN,COBBLE HILL-WEST,01 ONE FAMILY HOMES,1,2016
BROOKLYN,COBBLE HILL-WEST,02 TWO FAMILY HOMES,1,2016
BROOKLYN,COBBLE HILL-WEST,03 THREE FAMILY HOMES,3,2016
BROOKLYN,CONEY ISLAND,01 ONE FAMILY HOMES,31,2016
BROOKLYN,CONEY ISLAND,02 TWO FAMILY HOMES,6,2016
BROOKLYN,CONEY ISLAND,03 THREE FAMILY HOMES,2,2016
BROOKLYN,CROWN HEIGHTS,01 ONE FAMILY HOMES,45,2016
BROOKLYN,CROWN HEIGHTS,02 TWO FAMILY HOMES,144,2016
BROOKLYN,CROWN HEIGHTS,03 THREE FAMILY HOMES,53,2016
BROOKLYN,CYPRESS HILLS,01 ONE FAMILY HOMES,37,2016
BROOKLYN,CYPRESS HILLS,02 TWO FAMILY HOMES,112,2016
BROOKLYN,CYPRESS HILLS,03 THREE FAMILY HOMES,42,2016
BROOKLYN,DOWNTOWN-FULTON FERRY,02 TWO FAMILY HOMES,1,2016
BROOKLYN,DOWNTOWN-FULTON MALL,01 ONE FAMILY HOMES,2,2016
BROOKLYN,DOWNTOWN-FULTON MALL,02 TWO FAMILY HOMES,2,2016
BROOKLYN,DOWNTOWN-METROTECH,03 THREE FAMILY HOMES,1,2016
BROOKLYN,DYKER HEIGHTS,01 ONE FAMILY HOMES,62,2016
BROOKLYN,DYKER HEIGHTS,02 TWO FAMILY HOMES,64,2016
BROOKLYN,DYKER HEIGHTS,03 THREE FAMILY HOMES,20,2016
BROOKLYN,EAST NEW YORK,01 ONE FAMILY HOMES,87,2016
BROOKLYN,EAST NEW YORK,02 TWO FAMILY HOMES,267,2016
BROOKLYN,EAST NEW YORK,03 THREE FAMILY HOMES,96,2016
BROOKLYN,FLATBUSH-CENTRAL,01 ONE FAMILY HOMES,61,2016
BROOKLYN,FLATBUSH-CENTRAL,02 TWO FAMILY HOMES,71,2016
BROOKLYN,FLATBUSH-CENTRAL,03 THREE FAMILY HOMES,25,2016
BROOKLYN,FLATBUSH-EAST,01 ONE FAMILY HOMES,170,2016
BROOKLYN,FLATBUSH-EAST,02 TWO FAMILY HOMES,154,2016
BROOKLYN,FLATBUSH-EAST,03 THREE FAMILY HOMES,45,2016
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY HOMES,23,2016
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY HOMES,38,2016
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,03 THREE FAMILY HOMES,9,2016
BROOKLYN,FLATBUSH-NORTH,01 ONE FAMILY HOMES,43,2016
BROOKLYN,FLATBUSH-NORTH,02 TWO FAMILY HOMES,55,2016
BROOKLYN,FLATBUSH-NORTH,03 THREE FAMILY HOMES,16,2016
BROOKLYN,FLATLANDS,01 ONE FAMILY HOMES,49,2016
BROOKLYN,FLATLANDS,02 TWO FAMILY HOMES,55,2016
BROOKLYN,FLATLANDS,03 THREE FAMILY HOMES,3,2016
BROOKLYN,FORT GREENE,01 ONE FAMILY HOMES,5,2016
BROOKLYN,FORT GREENE,02 TWO FAMILY HOMES,15,2016
BROOKLYN,FORT GREENE,03 THREE FAMILY HOMES,11,2016
BROOKLYN,GERRITSEN BEACH,01 ONE FAMILY HOMES,75,2016
BROOKLYN,GERRITSEN BEACH,02 TWO FAMILY HOMES,8,2016
BROOKLYN,GOWANUS,01 ONE FAMILY HOMES,8,2016
BROOKLYN,GOWANUS,02 TWO FAMILY HOMES,16,2016
BROOKLYN,GOWANUS,03 THREE FAMILY HOMES,10,2016
BROOKLYN,GRAVESEND,01 ONE FAMILY HOMES,53,2016
BROOKLYN,GRAVESEND,02 TWO FAMILY HOMES,128,2016
BROOKLYN,GRAVESEND,03 THREE FAMILY HOMES,44,2016
BROOKLYN,GREENPOINT,01 ONE FAMILY HOMES,4,2016
BROOKLYN,GREENPOINT,02 TWO FAMILY HOMES,26,2016
BROOKLYN,GREENPOINT,03 THREE FAMILY HOMES,23,2016
BROOKLYN,KENSINGTON,01 ONE FAMILY HOMES,12,2016
BROOKLYN,KENSINGTON,02 TWO FAMILY HOMES,18,2016
BROOKLYN,KENSINGTON,03 THREE FAMILY HOMES,2,2016
BROOKLYN,MADISON,01 ONE FAMILY HOMES,85,2016
BROOKLYN,MADISON,02 TWO FAMILY HOMES,49,2016
BROOKLYN,MADISON,03 THREE FAMILY HOMES,3,2016
BROOKLYN,MANHATTAN BEACH,01 ONE FAMILY HOMES,29,2016
BROOKLYN,MANHATTAN BEACH,02 TWO FAMILY HOMES,10,2016
BROOKLYN,MARINE PARK,01 ONE FAMILY HOMES,182,2016
BROOKLYN,MARINE PARK,02 TWO FAMILY HOMES,54,2016
BROOKLYN,MARINE PARK,03 THREE FAMILY HOMES,4,2016
BROOKLYN,MIDWOOD,01 ONE FAMILY HOMES,107,2016
BROOKLYN,MIDWOOD,02 TWO FAMILY HOMES,50,2016
BROOKLYN,MIDWOOD,03 THREE FAMILY HOMES,17,2016
BROOKLYN,MILL BASIN,01 ONE FAMILY HOMES,71,2016
BROOKLYN,MILL BASIN,02 TWO FAMILY HOMES,32,2016
BROOKLYN,NAVY YARD,01 ONE FAMILY HOMES,10,2016
BROOKLYN,NAVY YARD,02 TWO FAMILY HOMES,3,2016
BROOKLYN,OCEAN HILL,01 ONE FAMILY HOMES,19,2016
BROOKLYN,OCEAN HILL,02 TWO FAMILY HOMES,105,2016
BROOKLYN,OCEAN HILL,03 THREE FAMILY HOMES,62,2016
BROOKLYN,OCEAN PARKWAY-NORTH,01 ONE FAMILY HOMES,91,2016
BROOKLYN,OCEAN PARKWAY-NORTH,02 TWO FAMILY HOMES,72,2016
BROOKLYN,OCEAN PARKWAY-NORTH,03 THREE FAMILY HOMES,15,2016
BROOKLYN,OCEAN PARKWAY-SOUTH,01 ONE FAMILY HOMES,34,2016
BROOKLYN,OCEAN PARKWAY-SOUTH,02 TWO FAMILY HOMES,66,2016
BROOKLYN,OCEAN PARKWAY-SOUTH,03 THREE FAMILY HOMES,17,2016
BROOKLYN,OLD MILL BASIN,01 ONE FAMILY HOMES,100,2016
BROOKLYN,OLD MILL BASIN,02 TWO FAMILY HOMES,42,2016
BROOKLYN,OLD MILL BASIN,03 THREE FAMILY HOMES,7,2016
BROOKLYN,PARK SLOPE,01 ONE FAMILY HOMES,11,2016
BROOKLYN,PARK SLOPE,02 TWO FAMILY HOMES,38,2016
BROOKLYN,PARK SLOPE,03 THREE FAMILY HOMES,26,2016
BROOKLYN,PARK SLOPE SOUTH,01 ONE FAMILY HOMES,14,2016
BROOKLYN,PARK SLOPE SOUTH,02 TWO FAMILY HOMES,31,2016
BROOKLYN,PARK SLOPE SOUTH,03 THREE FAMILY HOMES,6,2016
BROOKLYN,PROSPECT HEIGHTS,01 ONE FAMILY HOMES,3,2016
BROOKLYN,PROSPECT HEIGHTS,02 TWO FAMILY HOMES,14,2016
BROOKLYN,PROSPECT HEIGHTS,03 THREE FAMILY HOMES,2,2016
BROOKLYN,RED HOOK,01 ONE FAMILY HOMES,4,2016
BROOKLYN,RED HOOK,02 TWO FAMILY HOMES,12,2016
BROOKLYN,RED HOOK,03 THREE FAMILY HOMES,2,2016
BROOKLYN,SEAGATE,01 ONE FAMILY HOMES,14,2016
BROOKLYN,SEAGATE,02 TWO FAMILY HOMES,13,2016
BROOKLYN,SEAGATE,03 THREE FAMILY HOMES,2,2016
BROOKLYN,SHEEPSHEAD BAY,01 ONE FAMILY HOMES,81,2016
BROOKLYN,SHEEPSHEAD BAY,02 TWO FAMILY HOMES,130,2016
BROOKLYN,SHEEPSHEAD BAY,03 THREE FAMILY HOMES,18,2016
BROOKLYN,SUNSET PARK,01 ONE FAMILY HOMES,12,2016
BROOKLYN,SUNSET PARK,02 TWO FAMILY HOMES,116,2016
BROOKLYN,SUNSET PARK,03 THREE FAMILY HOMES,45,2016
BROOKLYN,WILLIAMSBURG-CENTRAL,02 TWO FAMILY HOMES,3,2016
BROOKLYN,WILLIAMSBURG-CENTRAL,03 THREE FAMILY HOMES,10,2016
BROOKLYN,WILLIAMSBURG-EAST,01 ONE FAMILY HOMES,20,2016
BROOKLYN,WILLIAMSBURG-EAST,02 TWO FAMILY HOMES,32,2016
BROOKLYN,WILLIAMSBURG-EAST,03 THREE FAMILY HOMES,11,2016
BROOKLYN,WILLIAMSBURG-NORTH,01 ONE FAMILY HOMES,4,2016
BROOKLYN,WILLIAMSBURG-NORTH,02 TWO FAMILY HOMES,6,2016
BROOKLYN,WILLIAMSBURG-NORTH,03 THREE FAMILY HOMES,8,2016
BROOKLYN,WILLIAMSBURG-SOUTH,01 ONE FAMILY HOMES,7,2016
BROOKLYN,WILLIAMSBURG-SOUTH,02 TWO FAMILY HOMES,7,2016
BROOKLYN,WILLIAMSBURG-SOUTH,03 THREE FAMILY HOMES,6,2016
BROOKLYN,WINDSOR TERRACE,01 ONE FAMILY HOMES,6,2016
BROOKLYN,WINDSOR TERRACE,02 TWO FAMILY HOMES,28,2016
BROOKLYN,WINDSOR TERRACE,03 THREE FAMILY HOMES,7,2016
BROOKLYN,WYCKOFF HEIGHTS,01 ONE FAMILY HOMES,1,2016
BROOKLYN,WYCKOFF HEIGHTS,02 TWO FAMILY HOMES,10,2016
BROOKLYN,WYCKOFF HEIGHTS,03 THREE FAMILY HOMES,14,2016
QUEENS,AIRPORT LA GUARDIA,01 ONE FAMILY HOMES,2,2016
QUEENS,AIRPORT LA GUARDIA,03 THREE FAMILY HOMES,2,2016
QUEENS,ARVERNE,01 ONE FAMILY HOMES,29,2016
QUEENS,ARVERNE,02 TWO FAMILY HOMES,100,2016
QUEENS,ARVERNE,03 THREE FAMILY HOMES,8,2016
QUEENS,ASTORIA,01 ONE FAMILY HOMES,41,2016
QUEENS,ASTORIA,02 TWO FAMILY HOMES,117,2016
QUEENS,ASTORIA,03 THREE FAMILY HOMES,46,2016
QUEENS,BAYSIDE,01 ONE FAMILY HOMES,287,2016
QUEENS,BAYSIDE,02 TWO FAMILY HOMES,97,2016
QUEENS,BAYSIDE,03 THREE FAMILY HOMES,18,2016
QUEENS,BEECHHURST,01 ONE FAMILY HOMES,47,2016
QUEENS,BEECHHURST,03 THREE FAMILY HOMES,1,2016
QUEENS,BELLE HARBOR,01 ONE FAMILY HOMES,34,2016
QUEENS,BELLE HARBOR,02 TWO FAMILY HOMES,20,2016
QUEENS,BELLE HARBOR,03 THREE FAMILY HOMES,2,2016
QUEENS,BELLEROSE,01 ONE FAMILY HOMES,116,2016
QUEENS,BELLEROSE,02 TWO FAMILY HOMES,32,2016
QUEENS,BELLEROSE,03 THREE FAMILY HOMES,1,2016
QUEENS,BRIARWOOD,01 ONE FAMILY HOMES,17,2016
QUEENS,BRIARWOOD,02 TWO FAMILY HOMES,5,2016
QUEENS,BRIARWOOD,03 THREE FAMILY HOMES,8,2016
QUEENS,BROAD CHANNEL,01 ONE FAMILY HOMES,24,2016
QUEENS,BROAD CHANNEL,02 TWO FAMILY HOMES,3,2016
QUEENS,CAMBRIA HEIGHTS,01 ONE FAMILY HOMES,92,2016
QUEENS,CAMBRIA HEIGHTS,02 TWO FAMILY HOMES,15,2016
QUEENS,COLLEGE POINT,01 ONE FAMILY HOMES,86,2016
QUEENS,COLLEGE POINT,02 TWO FAMILY HOMES,115,2016
QUEENS,COLLEGE POINT,03 THREE FAMILY HOMES,12,2016
QUEENS,CORONA,01 ONE FAMILY HOMES,32,2016
QUEENS,CORONA,02 TWO FAMILY HOMES,102,2016
QUEENS,CORONA,03 THREE FAMILY HOMES,92,2016
QUEENS,DOUGLASTON,01 ONE FAMILY HOMES,67,2016
QUEENS,DOUGLASTON,02 TWO FAMILY HOMES,8,2016
QUEENS,DOUGLASTON,03 THREE FAMILY HOMES,1,2016
QUEENS,EAST ELMHURST,01 ONE FAMILY HOMES,50,2016
QUEENS,EAST ELMHURST,02 TWO FAMILY HOMES,84,2016
QUEENS,EAST ELMHURST,03 THREE FAMILY HOMES,16,2016
QUEENS,ELMHURST,01 ONE FAMILY HOMES,68,2016
QUEENS,ELMHURST,02 TWO FAMILY HOMES,83,2016
QUEENS,ELMHURST,03 THREE FAMILY HOMES,49,2016
QUEENS,FAR ROCKAWAY,01 ONE FAMILY HOMES,75,2016
QUEENS,FAR ROCKAWAY,02 TWO FAMILY HOMES,81,2016
QUEENS,FAR ROCKAWAY,03 THREE FAMILY HOMES,25,2016
QUEENS,FLORAL PARK,01 ONE FAMILY HOMES,117,2016
QUEENS,FLORAL PARK,02 TWO FAMILY HOMES,2,2016
QUEENS,FLORAL PARK,03 THREE FAMILY HOMES,2,2016
QUEENS,FLUSHING-NORTH,01 ONE FAMILY HOMES,484,2016
QUEENS,FLUSHING-NORTH,02 TWO FAMILY HOMES,221,2016
QUEENS,FLUSHING-NORTH,03 THREE FAMILY HOMES,36,2016
