address,area,availabilityDate,baths,beds,brokerName,buildingId,buildingName,canSaveBuilding,detailUrl,has3DModel,hasAdditionalAttributions,hasImage,hasVideo,hdpData/homeInfo/bathrooms,hdpData/homeInfo/bedrooms,hdpData/homeInfo/city,hdpData/homeInfo/country,hdpData/homeInfo/currency,hdpData/homeInfo/datePriceChanged,hdpData/homeInfo/daysOnZillow,hdpData/homeInfo/homeStatus,hdpData/homeInfo/homeStatusForHDP,hdpData/homeInfo/homeType,hdpData/homeInfo/isFeatured,hdpData/homeInfo/isNonOwnerOccupied,hdpData/homeInfo/isPreforeclosureAuction,hdpData/homeInfo/isPremierBuilder,hdpData/homeInfo/isRentalWithBasePrice,hdpData/homeInfo/isShowcaseListing,hdpData/homeInfo/isUnmappable,hdpData/homeInfo/isZillowOwned,hdpData/homeInfo/latitude,hdpData/homeInfo/listing_sub_type/is_FSBA,hdpData/homeInfo/listing_sub_type/is_FSBO,hdpData/homeInfo/listing_sub_type/is_bankOwned,hdpData/homeInfo/listing_sub_type/is_comingSoon,hdpData/homeInfo/listing_sub_type/is_forAuction,hdpData/homeInfo/listing_sub_type/is_foreclosure,hdpData/homeInfo/listing_sub_type/is_newHome,hdpData/homeInfo/listing_sub_type/is_openHouse,hdpData/homeInfo/livingArea,hdpData/homeInfo/longitude,hdpData/homeInfo/lotAreaUnit,hdpData/homeInfo/lotAreaValue,hdpData/homeInfo/newConstructionType,hdpData/homeInfo/openHouse,hdpData/homeInfo/open_house_info/open_house_showing/0/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/0/open_house_start,hdpData/homeInfo/open_house_info/open_house_showing/1/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/1/open_house_start,hdpData/homeInfo/price,hdpData/homeInfo/priceChange,hdpData/homeInfo/priceForHDP,hdpData/homeInfo/priceReduction,hdpData/homeInfo/rentZestimate,hdpData/homeInfo/shouldHighlight,hdpData/homeInfo/state,hdpData/homeInfo/streetAddress,hdpData/homeInfo/taxAssessedValue,hdpData/homeInfo/timeOnZillow,hdpData/homeInfo/unit,hdpData/homeInfo/videoCount,hdpData/homeInfo/zestimate,hdpData/homeInfo/zipcode,hdpData/homeInfo/zpid,imgSrc,info3String,isBuilding,isFavorite,isFeaturedListing,isHomeRec,isNewYorkState,isShowcaseListing,isUserClaimingOwner,isUserConfirmedClaim,latLong/latitude,latLong/longitude,listingType,lotAreaString,lotId,marketingStatusSimplifiedCd,minArea,minBaths,minBeds,pgapt,plid,price,priceLabel,rawHomeStatusCd,sgapt,shouldShowZestimateAsPrice,statusText,statusType,timeOnZillow,unitCount,variableData/data/isFresh,variableData/data/isRead,variableData/text,variableData/type,visited,zpid
"313 E 240th St, Bronx, NY 10470",1725,,1,3,Listing by: Houlihan Lawrence,,,,/homedetails/313-E-240th-St-Bronx-NY-10470/29789771_zpid/,false,true,true,false,1,3,Bronx,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.90126,true,,,,,,,,1725,-73.86724,,,,,,,,,699000,,699000,,2017,false,NY,313 E 240th St,603000,507901000,,,694300,10470,29789771,https://photos.zillowstatic.com/fp/65f934a90ef5a1480ea7386941e2a2a0-p_e.jpg,,,false,false,false,true,false,false,false,40.90126,-73.86724,,,,For Sale by Agent,,,,ForSale,,"$699,000",$699K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,507901000,,,,,,false,29789771
"344A 13th St, Brooklyn, NY 11215",1872,,2,4,Listing by: Compass,,,,/homedetails/344A-13th-St-Brooklyn-NY-11215/30585883_zpid/,false,true,true,false,2,4,Brooklyn,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.66517,true,,,,,,,true,1872,-73.98559,,,,Thu. 5:30-7pm,1.71047E+12,1.71046E+12,,,2695000,,2695000,,8480,false,NY,344A 13th St,1832000,677791000,,,2695000,11215,30585883,https://photos.zillowstatic.com/fp/3e2f29022afa9399d000d661ccf6f183-p_e.jpg,,,false,false,false,true,false,false,false,40.66517,-73.98559,,,,For Sale by Agent,,,,ForSale,,"$2,695,000",$2.70M,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,677791000,,,,Open: Thu. 5:30-7pm,OPEN_HOUSE,false,30585883
"45B Edgewater UNIT B, Bronx, NY 10465",843,,2,2,Listing by: Berkshire Hathaway HS NY Prop,,,,/homedetails/45B-Edgewater-Park-Bronx-NY-10465/2082281462_zpid/,false,true,true,false,2,2,Bronx,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,false,true,false,false,,false,false,false,40.822517,true,,,,,,,,843,-73.81331,,,,,,,,,349900,,349900,,,false,NY,45B Edgewater UNIT B,,4734539000,,,,10465,2082281462,https://photos.zillowstatic.com/fp/4df82f915bfbdecd6e16b511bb1f822b-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.822517,-73.81331,,,,For Sale by Agent,,,,ForSale,,"$349,900",$350K,ForSale,For Sale (Broker),false,Condo for sale,FOR_SALE,4734539000,,,,,,false,2082281462
"59-14 164th Street, Flushing, NY 11365",1428,,2,3,Listing by: Promise Realty LLC,,,,/homedetails/5914-164th-St-Flushing-NY-11365/32071288_zpid/,false,true,true,false,2,3,Flushing,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,false,true,false,false,,false,false,false,40.739964,true,,,,,,,,1428,-73.804924,sqft,1940,,,,,,,878000,,878000,,3711,false,NY,59-14 164th Street,835000,3454414000,,,879300,11365,32071288,https://photos.zillowstatic.com/fp/077606a1459e92d99445c361f7e9bc81-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.739964,-73.804924,,,,For Sale by Agent,,,,ForSale,,"$878,000",$878K,ForSale,For Sale (Broker),false,Multi-family home for sale,FOR_SALE,3454414000,,,,,,false,32071288
"1711 Mansion Street, Bronx, NY 10460",2180,,3,4,Listing by: Keller Williams Realty Group,,,,/homedetails/1711-Mansion-St-Bronx-NY-10460/29798675_zpid/,false,true,true,false,3,4,Bronx,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,false,true,false,false,,false,false,false,40.838158,true,,,,,,,,2180,-73.87122,sqft,2919,,,,,,,399999,,399999,,,false,NY,1711 Mansion Street,628000,2132240000,,,,10460,29798675,https://photos.zillowstatic.com/fp/c8f3eb02fcd5809d5894c6f71c279744-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.838158,-73.87122,,,,For Sale by Agent,,,,ForSale,,"$399,999",$400K,ForSale,For Sale (Broker),false,Multi-family home for sale,FOR_SALE,2132240000,,,,,,false,29798675
"68-34 Springfield Blvd #2, Oakland Gardens, NY 11364",,,1,3,Listing by: Winzone Realty Inc,,,,/homedetails/68-34-Springfield-Blvd-2-Oakland-Gardens-NY-11364/2063422538_zpid/,false,true,true,false,1,3,Oakland Gardens,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,false,true,false,false,,false,false,false,40.743637,true,,,,,,,true,,-73.75494,,,,Sat. 1:30-2:30pm,1.71062E+12,1.71062E+12,1.71071E+12,1.71071E+12,359000,,359000,,2850,false,NY,68-34 Springfield Blvd #2,,1558804000,# 2,,358300,11364,2063422538,https://photos.zillowstatic.com/fp/dd0a5a6386771e001c4732d7653ba191-p_e.jpg,,,false,false,false,true,false,false,false,40.743637,-73.75494,,,,For Sale by Agent,,,,ForSale,,"$359,000",$359K,ForSale,For Sale (Broker),false,Condo for sale,FOR_SALE,1558804000,,,,Open: Sat. 1:30-2:30pm,OPEN_HOUSE,false,2063422538
"124 Thompson St UNIT 27/28, New York, NY 10012",0,,2,2,Listing by: Compass,,,,/homedetails/124-Thompson-St-UNIT-27-28-New-York-NY-10012/2076506600_zpid/,false,true,true,false,2,2,New York,USA,USD,1.70798E+12,-1,FOR_SALE,FOR_SALE,CONDO,false,true,false,false,,false,false,false,40.726215,true,,,,,,,,0,-74.00133,,,,,,,,,1600000,-175000,1600000,"$175,000 (Feb 15)",11000,false,NY,124 Thompson St UNIT 27/28,,9850948000,Unit 27/28,,1553300,10012,2076506600,https://photos.zillowstatic.com/fp/f302fee98359aecc7e58057319c9c17d-p_e.jpg,,,false,false,false,true,false,false,false,40.726215,-74.00133,,,,For Sale by Agent,,,,ForSale,,"$1,600,000",$1.60M,ForSale,For Sale (Broker),false,Condo for sale,FOR_SALE,9850948000,,,,"$175,000 (Feb 15)",PRICE_REDUCTION,false,2076506600
"25 Perry St, New York, NY 10014",4100,,5,5,Listing by: Compass,,,,/homedetails/25-Perry-St-New-York-NY-10014/31500494_zpid/,false,true,true,false,5,5,New York,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.735874,true,,,,,,,,4100,-74.002205,,,,,,,,,12995000,,12995000,,54396,false,NY,25 Perry St,11490000,14404653000,,,12128800,10014,31500494,https://photos.zillowstatic.com/fp/bf911b7b7d07d6f24ab4d32432e0523a-p_e.jpg,,,false,false,false,true,false,false,false,40.735874,-74.002205,,,,For Sale by Agent,,,,ForSale,,"$12,995,000",$13.0M,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,14404653000,,,,,,false,31500494
"765 E 224th St, Bronx, NY 10466",1613,,4,3,Listing by: REMAX Elite,,,,/homedetails/765-E-224th-St-Bronx-NY-10466/29832006_zpid/,false,true,true,false,4,3,Bronx,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.886597,true,,,,,,,,1613,-73.85849,,,,,,,,,399888,,399888,,3300,false,NY,765 E 224th St,479000,12343743000,,,199800,10466,29832006,https://photos.zillowstatic.com/fp/63fa77146faa69e012740c3686ecd570-p_e.jpg,,,false,false,false,true,false,false,false,40.886597,-73.85849,,,,For Sale by Agent,,,,ForSale,,"$399,888",$400K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,12343743000,,,,,,false,29832006
"34-23 88th St, Jackson Heights, NY 11372",0,,3,5,Listing by: Rock Realty,,,,/homedetails/34-23-88th-St-Jackson-Heights-NY-11372/2061658705_zpid/,false,true,true,false,3,5,Jackson Heights,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.75362,true,,,,,,,true,0,-73.87904,,,,Sat. 2-4pm,1.71063E+12,1.71062E+12,,,1388000,,1388000,,2949,false,NY,34-23 88th St,,170888000,,,1397200,11372,2061658705,https://photos.zillowstatic.com/fp/592124718849f6ec19be87c71c984038-p_e.jpg,,,false,false,false,true,false,false,false,40.75362,-73.87904,,,,For Sale by Agent,,,,ForSale,,"$1,388,000",$1.39M,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,170888000,,,,Open: Sat. 2-4pm,OPEN_HOUSE,false,2061658705
"4 W 21st St, New York, NY",,,,,,40.7404--73.9914,4W21,false,/b/4w21-new-york-ny-27ZZ/,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/8c8a6f4a45aa5cf233eaf7e4cab8b6c1-p_e.jpg,,true,false,false,false,,false,,,40.7404,-73.9914,,,13405,,1256,2,2,,1702838,"From $1,295,000",,,,,4W21,FOR_SALE,693840000,2,,,,,,
"687 E 24th St, Brooklyn, NY 11210",1622,,2,3,Listing by: Brown Harris Stevens,,,,/homedetails/687-E-24th-St-Brooklyn-NY-11210/30670128_zpid/,false,true,true,false,2,3,Brooklyn,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.63377,true,,,,,,,,1622,-73.95373,,,,,,,,,999000,,999000,,3435,false,NY,687 E 24th St,916000,671940000,,,994500,11210,30670128,https://photos.zillowstatic.com/fp/dbeb2d775ff39d10391bc6b33c2e15a7-p_e.jpg,,,false,false,false,true,false,false,false,40.63377,-73.95373,,,,For Sale by Agent,,,,ForSale,,"$999,000",$999K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,671940000,,,,,,false,30670128
"11 E 68th St, New York, NY",,,,,,40.7695--73.9675,The Marquand,false,/b/the-marquand-new-york-ny-5Xjqpv/,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/2465f08d46250d07cae547cadff2a6e1-p_e.jpg,,true,false,false,false,,false,,,40.7695,-73.9675,,,1001526283,,294,1,0,,1504529,"From $875,000",,,,,The Marquand,FOR_SALE,15881289000,2,,,,,,
"29 Andros Ave, Staten Island, NY 10303",1168,,2,3,Listing by: United National Realty,,,,/homedetails/29-Andros-Ave-Staten-Island-NY-10303/32300415_zpid/,false,true,true,false,2,3,Staten Island,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.637173,true,,,,,,,,1168,-74.16212,sqft,2275,,,,,,,499900,,499900,,2888,false,NY,29 Andros Ave,505000,674250000,,,501400,10303,32300415,https://photos.zillowstatic.com/fp/baa6f0436d93d3a0771c00001aac96c5-p_e.jpg,,,false,false,false,true,false,false,false,40.637173,-74.16212,,,,For Sale by Agent,,,,ForSale,,"$499,900",$500K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,674250000,,,,,,false,32300415
"350 Aspen Knolls Way, Staten Island, NY 10312",1679,,3,4,Listing by: DiTommaso Real Estate,,,,/homedetails/350-Aspen-Knolls-Way-Staten-Island-NY-10312/32360340_zpid/,false,true,true,false,3,4,Staten Island,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,false,true,false,false,,false,false,false,40.561916,true,,,,,,,,1679,-74.18387,sqft,560,,,,,,,519900,,519900,,3399,false,NY,350 Aspen Knolls Way,471000,2244276000,,,508700,10312,32360340,https://photos.zillowstatic.com/fp/4766a9b2a9a0226153533b03d5d6b2c6-p_e.jpg,,,false,false,false,true,false,false,false,40.561916,-74.18387,,,,For Sale by Agent,,,,ForSale,,"$519,900",$520K,ForSale,For Sale (Broker),false,Townhouse for sale,FOR_SALE,2244276000,,,,,,false,32360340
"424 E 115th St #3A, Manhattan, NY 10029",200,,1,0,Listing by: Keller Williams Realty NYC Group,,,,/homedetails/424-E-115th-St-3A-Manhattan-NY-10029/334957641_zpid/,false,true,true,false,1,0,Manhattan,USA,USD,1.70833E+12,-1,FOR_SALE,FOR_SALE,CONDO,false,true,false,false,,false,false,false,40.79473,true,,,,,,,,200,-73.93507,,,,,,,,,105000,-5000,105000,"$5,000 (Feb 19)",1849,false,NY,424 E 115th St #3A,,5263518000,# 3A,,95900,10029,334957641,https://photos.zillowstatic.com/fp/b6b768b8bce914576db4eb4c088482fd-p_e.jpg,,,false,false,false,true,false,false,false,40.79473,-73.93507,,,,For Sale by Agent,,,,ForSale,,"$105,000",$105K,ForSale,For Sale (Broker),false,Condo for sale,FOR_SALE,5263518000,,,,"$5,000 (Feb 19)",PRICE_REDUCTION,false,334957641
"52-04 69th Street, Maspeth, NY 11378",1634,,2,4,Listing by: E Realty International Corp,,,,/homedetails/52-04-69th-St-Maspeth-NY-11378/2056804208_zpid/,false,true,true,false,2,4,Maspeth,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,false,true,false,false,,false,false,false,40.73341,true,,,,,,,,1634,-73.89617,sqft,1786,,,,,,,898000,,898000,,3440,false,NY,52-04 69th Street,,13712490000,,,884500,11378,2056804208,https://photos.zillowstatic.com/fp/c1a0d21a052d8e6b0151dda2bda29707-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.73341,-73.89617,,,,For Sale by Agent,,,,ForSale,,"$898,000",$898K,ForSale,For Sale (Broker),false,Multi-family home for sale,FOR_SALE,13712490000,,,,,,false,2056804208
